Borough	Light_Conditions	Weather_Conditions	Road_Surface_Conditions	Number
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Kingston upon Thames	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Merton	Darkness: Street lights present and lit	Fine	Dry	1
Newham	Daylight: Street light present	Fine	Dry	1
Redbridge	Darkness: Street lights present and lit	Fine	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Richmond upon Thames	Darkness: Street lights present and lit	Fine	Frost/Ice	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Darkness: Street lights present and lit	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Wandsworth	Daylight: Street light present	Fine	Dry	1
Wandsworth	Darkness: Street lights present and lit	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
City of London	Darkness: Street lights present and lit	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Other	Dry	1
Barnet	Darkness: Street lights present and lit	Other	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Bromley	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Camden	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Croydon	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Croydon	Darkness: No Street lighting	Fine	Dry	1
Croydon	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Ealing	Daylight: Street light present	Other	Dry	1
Ealing	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Haringey	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Hillingdon	Daylight: Street light present	Fine	Dry	1
Hounslow	Darkness: Street lights present and lit	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Islington	Darkness: Street lights present and lit	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Darkness: Street lights present and lit	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Wet/Damp	1
Lambeth	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Lambeth	Daylight: Street light present	Raining	Wet/Damp	1
Lambeth	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Lewisham	Daylight: Street light present	Fine	Wet/Damp	1
Merton	Daylight: Street light present	Fine	Dry	1
Merton	Daylight: Street light present	Fine	Dry	1
Merton	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Newham	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Fine	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Wet/Damp	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Richmond upon Thames	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Wet/Damp	1
Sutton	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Waltham Forest	Daylight: Street light present	Fine	Wet/Damp	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Raining	Wet/Damp	1
Barking and Dagenham	Daylight: Street light present	Raining	Wet/Damp	1
Barking and Dagenham	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Barnet	Daylight: Street light present	Raining	Wet/Damp	1
Barnet	Darkness: Street lights present and lit	Fine	Dry	1
Bexley	Daylight: Street light present	Raining	Wet/Damp	1
Bexley	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Bexley	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Brent 	Darkness: Street lights present and lit	Fine	Dry	1
Bromley	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Croydon	Darkness: Street lights present and lit	Fine	Dry	1
Croydon	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Croydon	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Ealing	Darkness: Street lights present and lit	Fine	Dry	1
Ealing	Daylight: Street light present	Raining	Wet/Damp	1
Ealing	Daylight: Street light present	Raining	Wet/Damp	1
Enfield	Daylight: Street light present	Fine	Wet/Damp	1
Enfield	Daylight: Street light present	Raining	Wet/Damp	1
Greenwich	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Hackney	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Hackney	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Haringey	Daylight: Street light present	Raining	Wet/Damp	1
Harrow	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Havering	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Havering	Daylight: Street light present	Fine	Wet/Damp	1
Havering	Darkness: Street lights present and lit	Fine	Dry	1
Havering	Darkness: Street lights present and lit	Fine	Dry	1
Hillingdon	Daylight: Street light present	Raining	Wet/Damp	1
Hillingdon	Darkness: No Street lighting	Other	Dry	1
Islington	Daylight: Street light present	Raining	Wet/Damp	1
Islington	Darkness: No Street lighting	Other	Dry	1
Kingston upon Thames	Daylight: Street light present	Fine	Dry	1
Kingston upon Thames	Daylight: Street light present	Raining	Wet/Damp	1
Lambeth	Daylight: Street light present	Raining	Wet/Damp	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Raining	Wet/Damp	1
Lewisham	Darkness: Street lights present and lit	Fine	Dry	1
Merton	Daylight: Street light present	Raining	Wet/Damp	1
Merton	Daylight: Street light present	Raining	Wet/Damp	1
Merton	Darkness: Street lights present and lit	Fine	Dry	1
Merton	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Newham	Darkness: Street lights present and lit	Fine	Dry	1
Redbridge	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Richmond upon Thames	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Dry	1
Wandsworth	Daylight: Street light present	Raining	Wet/Damp	1
Westminster	Daylight: Street light present	Other	Dry	1
Westminster	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Westminster	Daylight: Street light present	Raining	Wet/Damp	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barnet	Darkness: Street lights present and lit	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Darkness: No Street lighting	Other	Dry	1
Bexley	Darkness: Street lights present and lit	Fine	Dry	1
Bexley	Daylight: Street light present	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Darkness: Street lights present and lit	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Wet/Damp	1
Croydon	Daylight: Street light present	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Dry	1
Ealing	Daylight: Street light present	Fine	Dry	1
Ealing	Daylight: Street light present	Fine	Dry	1
Ealing	Daylight: Street light present	Fine	Dry	1
Ealing	Darkness: Street lights present and lit	Fine	Dry	1
Ealing	Daylight: Street light present	Fine	Dry	1
Ealing	Daylight: Street light present	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Dry	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Hackney	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Hackney	Darkness: Street lights present and lit	Fine	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Dry	1
Haringey	Darkness: Street lights present and lit	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Dry	1
Haringey	Darkness: Street lights present and lit	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Wet/Damp	1
Haringey	Daylight: Street light present	Fine	Dry	1
Harrow	Daylight: Street light present	Other	Wet/Damp	1
Havering	Daylight: Street light present	Fine	Dry	1
Hillingdon	Daylight: Street light present	Fine	Dry	1
Hillingdon	Daylight: Street light present	Fine	Dry	1
Hounslow	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Darkness: Street lights present and lit	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kingston upon Thames	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lewisham	Darkness: Street lights present and lit	Fine	Dry	1
Merton	Darkness: Street lights present and lit	Fine	Dry	1
Newham	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Newham	Daylight: Street light present	Fine	Dry	1
Newham	Darkness: Street lights present and lit	Fine	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Wet/Damp	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Darkness: Street lights present and lit	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
City of London	Daylight: Street light present	Fine	Dry	1
City of London	Daylight: Street light present	Fine	Dry	1
City of London	Darkness: Street lights present and lit	Fine	Wet/Damp	1
City of London	Daylight: Street light present	Fine	Dry	1
Barking and Dagenham	Darkness: Street lights present and lit	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Raining	Wet/Damp	1
Barnet	Daylight: Street light present	Fine	Wet/Damp	1
Barnet	Darkness: Street lights present and lit	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Daylight: Street light present	Raining	Wet/Damp	1
Brent 	Daylight: Street light present	Raining	Wet/Damp	1
Brent 	Daylight: Street light present	Raining	Wet/Damp	1
Bromley	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Camden	Daylight: Street light present	Fine	Wet/Damp	1
Camden	Daylight: Street light present	Fine	Dry	1
Croydon	Darkness: Street lights present and lit	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Wet/Damp	1
Ealing	Darkness: No Street lighting	Other	Dry	1
Ealing	Darkness: No Street lighting	Other	Dry	1
Ealing	Darkness: Street lights present and lit	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Wet/Damp	1
Enfield	Darkness: Street lights present and lit	Fine	Dry	1
Enfield	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Greenwich	Daylight: Street light present	Raining	Wet/Damp	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Hackney	Daylight: Street light present	Other	Wet/Damp	1
Hackney	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Hackney	Darkness: Street lights present and lit	Other	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Raining	Wet/Damp	1
Haringey	Daylight: Street light present	Raining	Wet/Damp	1
Haringey	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Haringey	Daylight: Street light present	Fine	Dry	1
Haringey	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Haringey	Darkness: No Street lighting	Other	Dry	1
Harrow	Daylight: Street light present	Fine	Wet/Damp	1
Harrow	Daylight: Street light present	Fine	Dry	1
Havering	Daylight: Street light present	Fine	Wet/Damp	1
Havering	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Havering	Darkness: Street lights present and lit	Fine	Dry	1
Hillingdon	Daylight: Street light present	Other	Wet/Damp	1
Hillingdon	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Hillingdon	Daylight: Street light present	Other	Wet/Damp	1
Hillingdon	Daylight: Street light present	Raining	Wet/Damp	1
Hounslow	Daylight: Street light present	Raining	Wet/Damp	1
Hounslow	Daylight: Street light present	Raining	Wet/Damp	1
Hounslow	Daylight: Street light present	Fine	Wet/Damp	1
Hounslow	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Wet/Damp	1
Islington	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Islington	Darkness: Street lights present and lit	Fine	Dry	1
Islington	Daylight: Street light present	Raining	Wet/Damp	1
Kensington and Chelsea	Daylight: Street light present	Raining	Wet/Damp	1
Kingston upon Thames	Daylight: Street light present	Raining	Wet/Damp	1
Kingston upon Thames	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Raining	Wet/Damp	1
Lewisham	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Merton	Darkness: Street lights present and lit	Fine	Dry	1
Merton	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Merton	Daylight: Street light present	Other	Wet/Damp	1
Newham	Daylight: Street light present	Raining	Wet/Damp	1
Newham	Darkness: Street lights present and lit	Fine	Wet/Damp	1
Newham	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Raining	Wet/Damp	1
Redbridge	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Redbridge	Daylight: Street light present	Raining	Wet/Damp	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Darkness: Street lights present and lit	Fine	Dry	1
Southwark	Darkness: Street lights present and lit	Raining	Wet/Damp	1
Tower Hamlets	Daylight: Street light present	Fine	Wet/Damp	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Wandsworth	Darkness: Street lights present and lit	Fine	Dry	1
Wandsworth	Daylight: Street light present	Raining	Wet/Damp	1
Wandsworth	Daylight: Street light present	Fine	Wet/Damp	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Raining	Wet/Damp	1
Westminster	Daylight: Street light present	Fine	Wet/Damp	1
Westminster	Darkness: Street lights present and lit	Fine	Wet/Damp	1
City of London	Darkness: Street lights present and lit	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barking and Dagenham	Darkness: Street lights present and lit	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barnet	Darkness: Street lights present and lit	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Darkness: Street lights present and lit	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Darkness: Street lights present and lit	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Brent 	Darkness: Street lights present and lit	Fine	Dry	1
Brent 	Daylight: Street light present	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Dry	1
Ealing	Daylight: Street light present	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Dry	1
Enfield	Darkness: Street lights present and lit	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Darkness: Street lights present and lit	Fine	Dry	1
Hammersmith and Fulham	Darkness: Street lights present and lit	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Haringey	Darkness: Street lights present and lit	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Dry	1
Harrow	Daylight: Street light present	Fine	Dry	1
Harrow	Darkness: Street lights present and lit	Fine	Dry	1
Harrow	Daylight: Street light present	Fine	Dry	1
Harrow	Daylight: Street light present	Fine	Dry	1
Harrow	Darkness: Street lights present and lit	Fine	Dry	1
Havering	Daylight: Street light present	Fine	Dry	1
Havering	Daylight: Street light present	Fine	Dry	1
Hillingdon	Darkness: Street lights present and lit	Fine	Dry	1
Hounslow	Darkness: Street lights present and lit	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Islington	Darkness: Street lights present and lit	Fine	Dry	1
Kensington and Chelsea	Darkness: Street lights present and lit	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Darkness: Street lights present and lit	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Darkness: Street lights present and lit	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Merton	Darkness: Street lights present and lit	Fine	Dry	1
Merton	Daylight: Street light present	Fine	Dry	1
Newham	Darkness: Street lights present and lit	Fine	Dry	1
Newham	Darkness: Street lights present and lit	Fine	Dry	1
Redbridge	Darkness: Street lights present and lit	Fine	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Southwark	Darkness: Street lights present and lit	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Sutton	Daylight: Street light present	Fine	Dry	1
Sutton	Daylight: Street light present	Fine	Dry	1
Sutton	Darkness: Street lights present and lit	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Darkness: Street lights present and lit	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Waltham Forest	Darkness: Street lights present and lit	Fine	Dry	1
Wandsworth	Daylight: Street light present	Fine	Dry	1
Wandsworth	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
City of London	Darkness: Street lights present and lit	Fine	Dry	1
City of London	Daylight: Street light present	Fine	Dry	1
City of London	Daylight: Street light present	Fine	Dry	1
Barking and Dagenham	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Barnet	Daylight: Street light present	Fine	Dry	1
Bexley	Darkness: Street lights present and lit	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Bromley	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Fine	Dry	1
Camden	Daylight: Street light present	Fine	Dry	1
Camden	Darkness: Street lights present and lit	Fine	Dry	1
Croydon	Daylight: Street light present	Fine	Wet/Damp	1
Croydon	Daylight: Street light present	Fine	Dry	1
Ealing	Darkness: Street lights present and lit	Fine	Dry	1
Ealing	Darkness: Street lights present and lit	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Dry	1
Enfield	Daylight: Street light present	Fine	Dry	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Greenwich	Daylight: Street light present	Fine	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Hackney	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Hammersmith and Fulham	Daylight: Street light present	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Dry	1
Haringey	Daylight: Street light present	Fine	Dry	1
Harrow	Daylight: Street light present	Fine	Dry	1
Havering	Daylight: Street light present	Fine	Dry	1
Havering	Daylight: Street light present	Fine	Dry	1
Hillingdon	Daylight: Street light present	Fine	Dry	1
Hillingdon	Daylight: Street light present	Fine	Dry	1
Hillingdon	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Hounslow	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Islington	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kensington and Chelsea	Daylight: Street light present	Fine	Dry	1
Kingston upon Thames	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lambeth	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Lewisham	Daylight: Street light present	Fine	Dry	1
Newham	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Fine	Dry	1
Redbridge	Daylight: Street light present	Other	Dry	1
Richmond upon Thames	Daylight: Street light present	Fine	Dry	1
Richmond upon Thames	Darkness: Street lights present and lit	Other	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Southwark	Daylight: Street light present	Fine	Dry	1
Sutton	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Tower Hamlets	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Waltham Forest	Daylight: Street light present	Fine	Dry	1
Wandsworth	Daylight: Street light present	Fine	Dry	1
Wandsworth	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
Westminster	Daylight: Street light present	Fine	Dry	1
